source,safe_source,heading,type
EPA Chemical Data Reporting (CDR),EPA Chemical Data Reporting (CDR),CAS,Compound
EPA Chemical Data Reporting (CDR),EPA Chemical Data Reporting (CDR),Consumer Uses,Compound
EPA Chemical Data Reporting (CDR),EPA Chemical Data Reporting (CDR),General Manufacturing Information,Compound
EPA Chemical Data Reporting (CDR),EPA Chemical Data Reporting (CDR),Industry Uses,Compound
EPA Chemical Data Reporting (CDR),EPA Chemical Data Reporting (CDR),Physical Description,Compound
EPA Chemical Data Reporting (CDR),EPA Chemical Data Reporting (CDR),U.S. Production,Compound
EPA Chemicals under the TSCA,EPA Chemicals under the TSCA,CAS,Compound
EPA Chemicals under the TSCA,EPA Chemicals under the TSCA,Deprecated CAS,Compound
EPA Chemicals under the TSCA,EPA Chemicals under the TSCA,General Manufacturing Information,Compound
EPA Chemicals under the TSCA,EPA Chemicals under the TSCA,UVCB,Compound
EPA DSSTox,EPA DSSTox,CAS,Compound
EPA DSSTox,EPA DSSTox,DSSTox Substance ID,Compound
EPA DSSTox,EPA DSSTox,Deprecated CAS,Compound
EPA DSSTox,EPA DSSTox,UVCB,Compound
EPA Integrated Risk Information System (IRIS),EPA Integrated Risk Information System (IRIS),CAS,Compound
EPA Integrated Risk Information System (IRIS),EPA Integrated Risk Information System (IRIS),Cancer Sites,Compound
EPA Integrated Risk Information System (IRIS),EPA Integrated Risk Information System (IRIS),EPA IRIS Information,Compound
EPA Integrated Risk Information System (IRIS),EPA Integrated Risk Information System (IRIS),Target Organs,Compound
EPA Pesticide Ecotoxicity Database,EPA Pesticide Ecotoxicity Database,Agrochemical Category,Compound
EPA Pesticide Ecotoxicity Database,EPA Pesticide Ecotoxicity Database,EPA Ecotoxicity,Compound
EPA Provisional Peer-Reviewed Toxicity Values (PPRTVs),EPA Provisional Peer-Reviewed Toxicity Values (PPRTVs),CAS,Compound
EPA Provisional Peer-Reviewed Toxicity Values (PPRTVs),EPA Provisional Peer-Reviewed Toxicity Values (PPRTVs),EPA Provisional Peer-Reviewed Toxicity Values,Compound
EPA Regional Screening Levels for Chemical Contaminants at Superfund Sites,EPA Regional Screening Levels for Chemical Contaminants at Superfund Sites,Hazard Quotient Level 0.1 or Cancer Risk Level 1E-06,Compound
EPA Regional Screening Levels for Chemical Contaminants at Superfund Sites,EPA Regional Screening Levels for Chemical Contaminants at Superfund Sites,Hazard Quotient Level 3 or Cancer Risk Level 1E-04,Compound
EPA Safer Choice,EPA Safer Choice,EPA Safer Chemical,Compound
EPA Safer Choice,EPA Safer Choice,Use Classification,Compound
EU Clinical Trials Register,EU Clinical Trials Register,EU Clinical Trials Register,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Acid Value,Compound
EU Food Improvement Agents,EU Food Improvement Agents,European Community (EC) Number,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Food Additive Classes,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Food Additive Definition,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Melting Point,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Molecular Formula,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Optical Rotation,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Physical Description,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Refractive Index,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Solubility,Compound
EU Food Improvement Agents,EU Food Improvement Agents,UV Spectra,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Use Classification,Compound
EU Food Improvement Agents,EU Food Improvement Agents,Viscosity,Compound
EU Food Improvement Agents,EU Food Improvement Agents,pH,Compound
EU Pesticides Database,EU Pesticides Database,Agrochemical Category,Compound
EU Pesticides Database,EU Pesticides Database,EU Pesticides Data,Compound
EU Pesticides Database,EU Pesticides Database,Pesticides,Compound
EU Pesticides Database,EU Pesticides Database,Use Classification,Compound
European Chemicals Agency (ECHA),European Chemicals Agency (ECHA),CAS,Compound
European Chemicals Agency (ECHA),European Chemicals Agency (ECHA),European Community (EC) Number,Compound
European Chemicals Agency (ECHA),European Chemicals Agency (ECHA),GHS Classification,Compound
European Chemicals Agency (ECHA),European Chemicals Agency (ECHA),Hazard Classes and Categories,Compound
European Chemicals Agency (ECHA),European Chemicals Agency (ECHA),Regulatory Information,Compound
European Medicines Agency (EMA),European Medicines Agency (EMA),ATC Code,Compound
European Medicines Agency (EMA),European Medicines Agency (EMA),Animal Drugs,Compound
European Medicines Agency (EMA),European Medicines Agency (EMA),Drug Indication,Compound
European Medicines Agency (EMA),European Medicines Agency (EMA),EMA Drug Information,Compound
European Medicines Agency (EMA),European Medicines Agency (EMA),Human Drugs,Compound
European Medicines Agency (EMA),European Medicines Agency (EMA),Use Classification,Compound
FDA Approved Animal Drug Products (Green Book),FDA Approved Animal Drug Products (Green Book),Animal Drugs,Compound
FDA Approved Animal Drug Products (Green Book),FDA Approved Animal Drug Products (Green Book),FDA Green Book,Compound
FDA Approved Animal Drug Products (Green Book),FDA Approved Animal Drug Products (Green Book),FDA Green Book Patents,Compound
FDA Approved Animal Drug Products (Green Book),FDA Approved Animal Drug Products (Green Book),Use Classification,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),Color Additive Status,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),FCN Number,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Generally Recognized as Safe - GRAS Notices,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Indirect Additives used in Food Contact Substances,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Inventory of Effective Food Contact Substance Notifications - FCN,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Substances Added to Food,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),Food Additive Status,Compound
FDA Center for Food Safety and Applied Nutrition (CFSAN),FDA Center for Food Safety and Applied Nutrition (CFSAN),Food Additives,Compound
FDA Global Substance Registration System (GSRS),FDA Global Substance Registration System (GSRS),CAS,Compound
FDA Global Substance Registration System (GSRS),FDA Global Substance Registration System (GSRS),Deprecated CAS,Compound
FDA Global Substance Registration System (GSRS),FDA Global Substance Registration System (GSRS),UNII,Compound
FDA Medication Guides,FDA Medication Guides,FDA Medication Guides,Compound
FDA Orange Book,FDA Orange Book,FDA Orange Book,Compound
FDA Orange Book,FDA Orange Book,FDA Orange Book Patents,Compound
FDA Orange Book,FDA Orange Book,Use Classification,Compound
FDA Pharm Classes,FDA Pharm Classes,FDA Pharmacological Classification,Compound
FDA Pharm Classes,FDA Pharm Classes,Record Description,Compound
FDA Purple Book,FDA Purple Book,FDA Purple Book,Compound
Flavor and Extract Manufacturers Association (FEMA),Flavor and Extract Manufacturers Association (FEMA),FEMA Flavor Profile,Compound
Flavor and Extract Manufacturers Association (FEMA),Flavor and Extract Manufacturers Association (FEMA),FEMA Number,Compound
FlyBase,FlyBase,FlyBase ID,Gene
FooDB,FooDB,Associated Foods,Compound
FooDB,FooDB,Food Compounds,Taxonomy
FooDB,FooDB,Record Description,Taxonomy
Gene Curation Coalition (GenCC),Gene Curation Coalition (GenCC),GenCC ID,Gene
Genomics of Drug Sensitivity in Cancer (GDSC),Genomics of Drug Sensitivity in Cancer (GDSC),Drug Sensitivity,Cell
Genomics of Drug Sensitivity in Cancer (GDSC),Genomics of Drug Sensitivity in Cancer (GDSC),GDSC,Cell
GlycoNAVI,GlycoNAVI,GlyTouCan Accession,Compound
GlyConnect,GlyConnect,GlyConnect Cell Line,Cell
GlyConnect,GlyConnect,GlyConnect Protein,Protein
GlyConnect,GlyConnect,GlyConnect Structure,Compound
GlyConnect,GlyConnect,GlyConnect Taxonomy,Taxonomy
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Chemical-Gene Interactions,Gene
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Chemical-Target Interactions,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Gene-Disease Associations,Gene
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyCosmos Gene,Gene
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyCosmos Monoisotopic Mass,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyCosmos Protein,Protein
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyCosmos Species,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyCosmos Subsumption,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyCosmos Tissue/Organ,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlyTouCan Accession,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Glycans,Pathway
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Glycans,Taxonomy
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlycoGenes,Pathway
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlycoPathways,Pathway
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,GlycoProteins,Pathway
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Record Description,Compound
GlyCosmos Glycoscience Portal,GlyCosmos Glycoscience Portal,Taxonomy,Compound
GlyGen,GlyGen,GlyGen Classification,Compound
GlyGen,GlyGen,GlyGen Motifs,Compound
GlyGen,GlyGen,GlyGen Protein,Protein
GlyGen,GlyGen,Glycosylation,Protein
GlyGen,GlyGen,Monosaccharide Composition,Compound
GlyGen,GlyGen,Permethylated Mass,Compound
GlyTouCan Project,GlyTouCan Project,Biologic Line Notation,Compound
GlyTouCan Project,GlyTouCan Project,GlyTouCan Accession,Compound
Handbook of Mineralogy,Handbook of Mineralogy,Minerals,Compound
Harvard Medical School (HMS) LINCS,Harvard Medical School (HMS) LINCS,Cell Type,Cell
Harvard Medical School (HMS) LINCS,Harvard Medical School (HMS) LINCS,Diseases,Cell
Harvard Medical School (HMS) LINCS,Harvard Medical School (HMS) LINCS,HMS LINCS ID,Cell
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Adverse Effects,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Associated Disorders and Diseases,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Biological Half-Life,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Boiling Point,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Chemical Classes,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Emergency Response Planning Guidelines,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Exposure Control and Personal Protection,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Flash Point,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Hazards Summary,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Immediately Dangerous to Life or Health (IDLH),Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Melting Point,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Odor Threshold,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Permissible Exposure Limit (PEL),Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Physical Description,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Threshold Limit Values (TLV),Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Toxicity Data,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Uses,Compound
"Haz-Map, Information on Hazardous Chemicals and Occupational Diseases","Haz-Map, Information on Hazardous Chemicals and Occupational Diseases",Vapor Pressure,Compound
"Hazardous Chemical Information System (HCIS), Safe Work Australia","Hazardous Chemical Information System (HCIS), Safe Work Australia",GHS Classification,Compound
"Hazardous Chemical Information System (HCIS), Safe Work Australia","Hazardous Chemical Information System (HCIS), Safe Work Australia",Hazard Classes and Categories,Compound
Hazardous Substances Data Bank (HSDB),Hazardous Substances Data Bank (HSDB),13C NMR Spectra,Compound
Hazardous Substances Data Bank (HSDB),Hazardous Substances Data Bank (HSDB),1D NMR Spectra,Compound
Hazardous Substances Data Bank (HSDB),Hazardous Substances Data Bank (HSDB),1H NMR Spectra,Compound
Hazardous Substances Data Bank (HSDB),Hazardous Substances Data Bank (HSDB),"Absorption, Distribution and Excretion",Compound
Hazardous Substances Data Bank (HSDB),Hazardous Substances Data Bank (HSDB),"Absorption, Distribution and Excretion (Complete)",Compound
Hazardous Substances Data Bank (HSDB),Hazardous Substances Data Bank (HSDB),Acceptable Daily Intakes,Compound
